code,name,date,area_ha
10626,Baixo São Francisco,3/1988,30090.54607144956
10627,Submédio São Francisco,3/1988,137073.97712722866
10628,Médio São Francisco,3/1988,449181.4846578171
10629,Alto São Francisco,3/1988,142247.00933525214
10626,Baixo São Francisco,4/1988,31015.36408822084
10627,Submédio São Francisco,4/1988,148948.0663566003
10628,Médio São Francisco,4/1988,441697.5916457889
10629,Alto São Francisco,4/1988,140278.9863371861
10626,Baixo São Francisco,5/1988,31787.53092582033
10627,Submédio São Francisco,5/1988,144399.29488036482
10628,Médio São Francisco,5/1988,438073.4224833938
10629,Alto São Francisco,5/1988,141519.91159456983
10626,Baixo São Francisco,6/1988,28518.19308508868
10627,Submédio São Francisco,6/1988,146059.5629688922
10628,Médio São Francisco,6/1988,433830.7380991785
10629,Alto São Francisco,6/1988,139548.23996773953
10626,Baixo São Francisco,7/1988,28567.316668805488
10627,Submédio São Francisco,7/1988,149384.36941437074
10628,Médio São Francisco,7/1988,434040.9156779899
10629,Alto São Francisco,7/1988,142607.08886162212
10626,Baixo São Francisco,8/1988,31616.073179401355
10627,Submédio São Francisco,8/1988,147214.8917504519
10628,Médio São Francisco,8/1988,434585.3693099905
10629,Alto São Francisco,8/1988,144443.29323105334
10626,Baixo São Francisco,9/1988,30894.92855912256
10627,Submédio São Francisco,9/1988,152730.91007891836
10628,Médio São Francisco,9/1988,437837.2702893599
10629,Alto São Francisco,9/1988,144505.08545628295
10626,Baixo São Francisco,10/1988,32625.100213125646
10627,Submédio São Francisco,10/1988,150732.2666253028
10628,Médio São Francisco,10/1988,432789.46397720114
10629,Alto São Francisco,10/1988,142215.92472393063
10626,Baixo São Francisco,11/1988,30566.8196960472
10627,Submédio São Francisco,11/1988,143891.25256452695
10628,Médio São Francisco,11/1988,419736.2402270306
10629,Alto São Francisco,11/1988,137730.7259112258
10626,Baixo São Francisco,12/1988,31034.074972130184
10627,Submédio São Francisco,12/1988,143579.65145372052
10628,Médio São Francisco,12/1988,429139.8485454307
10629,Alto São Francisco,12/1988,136016.68787313637
10626,Baixo São Francisco,1/1989,32107.761489119148
10627,Submédio São Francisco,1/1989,148617.5969563339
10628,Médio São Francisco,1/1989,397283.5995402834
10629,Alto São Francisco,1/1989,129783.41324226953
10626,Baixo São Francisco,2/1989,31524.943280069783
10627,Submédio São Francisco,2/1989,149245.56835360636
10628,Médio São Francisco,2/1989,400397.464808487
10629,Alto São Francisco,2/1989,133066.02394571388
10626,Baixo São Francisco,3/1989,31313.62015729159
10627,Submédio São Francisco,3/1989,142901.54566067335
10628,Médio São Francisco,3/1989,398826.5793460999
10629,Alto São Francisco,3/1989,133261.43258528598
10626,Baixo São Francisco,4/1989,31406.226968145
10627,Submédio São Francisco,4/1989,151837.2431898327
10628,Médio São Francisco,4/1989,398023.5030688756
10629,Alto São Francisco,4/1989,132929.8927250014
10626,Baixo São Francisco,5/1989,32423.85559247885
10627,Submédio São Francisco,5/1989,151223.94290311704
10628,Médio São Francisco,5/1989,398047.8493723712
10629,Alto São Francisco,5/1989,136089.4545052475
10626,Baixo São Francisco,6/1989,30091.483250399822
10627,Submédio São Francisco,6/1989,153962.02094327784
10628,Médio São Francisco,6/1989,396378.2186989453
10629,Alto São Francisco,6/1989,134646.48578348622
10626,Baixo São Francisco,7/1989,29578.12492436764
10627,Submédio São Francisco,7/1989,158164.90563636873
10628,Médio São Francisco,7/1989,395648.0238473828
10629,Alto São Francisco,7/1989,136617.77212582703
10626,Baixo São Francisco,8/1989,32602.065569224284
10627,Submédio São Francisco,8/1989,150178.26725714514
10628,Médio São Francisco,8/1989,397454.2087349918
10629,Alto São Francisco,8/1989,138389.21968869632
10626,Baixo São Francisco,9/1989,32930.95154185813
10627,Submédio São Francisco,9/1989,161732.64306675797
10628,Médio São Francisco,9/1989,400109.50366928015
10629,Alto São Francisco,9/1989,137455.23849443207
10626,Baixo São Francisco,10/1989,32130.11664520635
10627,Submédio São Francisco,10/1989,156571.5366381508
10628,Médio São Francisco,10/1989,398798.1149155752
10629,Alto São Francisco,10/1989,136287.22533199805
10626,Baixo São Francisco,11/1989,30798.49574758391
10627,Submédio São Francisco,11/1989,138058.77301697296
10628,Médio São Francisco,11/1989,387008.3833769515
10629,Alto São Francisco,11/1989,130515.66451609312
10626,Baixo São Francisco,12/1989,31238.76337439326
10627,Submédio São Francisco,12/1989,148063.47530877937
10628,Médio São Francisco,12/1989,392410.8910097085
10629,Alto São Francisco,12/1989,129390.6382251638
10626,Baixo São Francisco,1/1990,32336.437267955167
10627,Submédio São Francisco,1/1990,152185.66157566887
10628,Médio São Francisco,1/1990,495389.8704229526
10629,Alto São Francisco,1/1990,136555.57784274305
10626,Baixo São Francisco,2/1990,31314.126593619058
10627,Submédio São Francisco,2/1990,150864.25441576936
10628,Médio São Francisco,2/1990,523943.5319864911
10629,Alto São Francisco,2/1990,139559.47847330495
10626,Baixo São Francisco,3/1990,33073.52106064591
10627,Submédio São Francisco,3/1990,147162.41350056097
10628,Médio São Francisco,3/1990,541058.9099885054
10629,Alto São Francisco,3/1990,141156.43861027304
10626,Baixo São Francisco,4/1990,32198.683018503827
10627,Submédio São Francisco,4/1990,150664.93919349788
10628,Médio São Francisco,4/1990,531268.2629387162
10629,Alto São Francisco,4/1990,140775.65405773176
10626,Baixo São Francisco,5/1990,32216.8251344502
10627,Submédio São Francisco,5/1990,159775.1700943149
10628,Médio São Francisco,5/1990,535329.9012107906
10629,Alto São Francisco,5/1990,142175.88148089388
10626,Baixo São Francisco,6/1990,30719.463522642363
10627,Submédio São Francisco,6/1990,156401.63266788825
10628,Médio São Francisco,6/1990,513112.8856825545
10629,Alto São Francisco,6/1990,141033.1077900376
10626,Baixo São Francisco,7/1990,30545.90279035916
10627,Submédio São Francisco,7/1990,156872.7835798474
10628,Médio São Francisco,7/1990,523291.2024296568
10629,Alto São Francisco,7/1990,142280.09462434278
10626,Baixo São Francisco,8/1990,32349.99743616254
10627,Submédio São Francisco,8/1990,157432.7104222138
10628,Médio São Francisco,8/1990,515630.9228401322
10629,Alto São Francisco,8/1990,144096.34390047126
10626,Baixo São Francisco,9/1990,32492.39551101965
10627,Submédio São Francisco,9/1990,159109.64304265988
10628,Médio São Francisco,9/1990,504460.1873325704
10629,Alto São Francisco,9/1990,144470.39009550042
10626,Baixo São Francisco,10/1990,32261.528692950087
10627,Submédio São Francisco,10/1990,158037.01970780003
10628,Médio São Francisco,10/1990,483090.5212836902
10629,Alto São Francisco,10/1990,142078.5073120879
10626,Baixo São Francisco,11/1990,31319.95567279896
10627,Submédio São Francisco,11/1990,145630.26907864743
10628,Médio São Francisco,11/1990,432252.73824633687
10629,Alto São Francisco,11/1990,138085.6303747883
